alpha_name,beta_name,alpha_value,beta_value,rho,cf_terms,best_p,best_q,best_approx,delta,abs_error,n_lock,tau_scaled,pair,carrier,abs_delta,Crystal_n_start,Crystal_n_end,Crystal_count,Crystal_mean_err,Crystal_lock_scaled_pct,Crystal_lock_soft_pct,Transit_n_start,Transit_n_end,Transit_count,Transit_mean_err,Transit_lock_scaled_pct,Transit_lock_soft_pct,PostCrk_n_start,PostCrk_n_end,PostCrk_count,PostCrk_mean_err,PostCrk_lock_scaled_pct,PostCrk_lock_soft_pct
pi_over_3,sqrt11,1.0471975511965976,3.3166247903554,0.03846506367850721,"[0; 25, 1, 418, 1, 2, 41, 47, 3, 3]",1,26,0.038461538461538464,3.5252169687458035e-06,3.5252169687458035e-06,283670.4829421545,0.0038461538461538464,pi_over_3 / sqrt11,1/26,3.5252169687458035e-06,1,28367,28367,0.05000167748472076,3.846018260654986,49.99823738851482,255303.0,312037.0,56735,0.05000079619495234,3.8459504714902613,50.000881290208866,340404.0,425505.0,85102,0.3499977016583824,0.0,0.0
catalan,ln_phi,0.915965594177219,0.48121182505960347,0.1200037588824205,"[0; 8, 3, 425, 2, 1, 21, 8, 5, 1]",3,25,0.12,3.7588824205042615e-06,3.7588824205042615e-06,266036.5204681896,0.004,catalan / ln_phi,3/25,3.7588824205042615e-06,1,26603,26603,0.05000065395748887,3.999548923053791,49.99812051272413,239432.0,292640.0,53209,0.050001593697201835,3.9993234227292374,49.99906030934616,319243.0,399054.0,79812,0.3499969829988799,0.0,0.0
log2,pi_over_4,0.6931471805599453,0.7853981633974483,0.5172467730251458,"[0; 1, 1, 13, 1, 219, 1, 1, 10, 1]",15,29,0.5172413793103449,5.393714800905336e-06,5.393714800905336e-06,185400.97815927342,0.0034482758620689655,log2 / pi_over_4,15/29,5.393714800905336e-06,1,18540,18540,0.05000243306211233,3.4466019417475726,50.0,166860.0,203941.0,37082,0.050002433062112384,3.4491127770886143,50.0,222481.0,278101.0,55621,0.3499982712420211,0.0,0.0
ln_phi,phi,0.48121182505960347,1.618033988749895,0.47998805726069405,"[0; 2, 11, 1, 133, 19, 155, 4, 1, 7]",12,25,0.48,-1.1942739305936811e-05,1.1942739305936811e-05,83732.88358583643,0.004,ln_phi / phi,12/25,1.1942739305936811e-05,1,8373,8373,0.05000424947403208,3.989012301445121,49.994028424698435,75359.0,92106.0,16748,0.05000424947403272,4.0004776689754005,49.9940291378075,100479.0,125599.0,25121,0.34999530840579923,0.0,0.0
ln_phi,phi_inv,0.48121182505960347,0.6180339887498948,0.520011942739306,"[0; 1, 1, 11, 1, 133, 19, 155, 4, 1]",13,25,0.52,1.1942739305936811e-05,1.1942739305936811e-05,83732.88358583643,0.004,ln_phi / phi_inv,13/25,1.1942739305936811e-05,1,8373,8373,0.050004249474031606,3.989012301445121,49.994028424698435,75359.0,92106.0,16748,0.05000424947403272,4.0004776689754005,49.9940291378075,100479.0,125599.0,25121,0.34999530840579923,0.0,0.0
log2,pi_over_3,0.6931471805599453,1.0471975511965976,0.05264491250735848,"[0; 18, 1, 206, 1, 4, 7, 3, 3, 9]",1,19,0.05263157894736842,1.3333559990058585e-05,1.3333559990058585e-05,74998.72507759319,0.005263157894736842,log2 / pi_over_3,1/19,1.3333559990058585e-05,1,7499,7499,0.050000849962708746,5.254033871182824,49.99333244432591,67498.0,82498.0,15001,0.0500041837749766,5.266315578961402,49.996666888874074,89998.0,112498.0,22501,0.3499962818731559,0.0,0.0
log10,sqrt11,2.302585092994046,3.3166247903554,0.6956370903343336,"[0; 1, 2, 3, 1, 1, 124, 1, 3, 5]",16,23,0.6956521739130435,-1.5083578709829126e-05,1.5083578709829126e-05,66297.26401390115,0.004347826086956522,log10 / sqrt11,16/23,1.5083578709829126e-05,1,6629,6629,0.050002063423147156,4.344546688791673,49.99245738422084,59667.0,72926.0,13260,0.050002064023792515,4.343891402714932,50.0,79556.0,99445.0,19890,0.34998783632078756,0.0,0.0
sqrt5,silver_inv,2.23606797749979,0.41421356237309515,0.08697178124171867,"[0; 11, 2, 123, 2, 2, 15, 2, 3, 1]",2,23,0.08695652173913043,1.5259502588238494e-05,1.5259502588238494e-05,65532.93557358587,0.004347826086956522,sqrt5 / silver_inv,2/23,1.5259502588238494e-05,1,6553,6553,0.05000538998164961,4.333892873493057,49.99236990691286,58979.0,72086.0,13108,0.05000538998164973,4.340860543179738,49.992371071101616,78639.0,98299.0,19661,0.34999293447865776,0.0,0.0
sqrt5,silver,2.23606797749979,2.414213562373095,0.9130282187582812,"[0; 1, 10, 2, 123, 2, 2, 15, 2, 3]",21,23,0.9130434782608695,-1.5259502588294005e-05,1.5259502588294005e-05,65532.93557334747,0.004347826086956522,sqrt5 / silver,21/23,1.5259502588294005e-05,1,6553,6553,0.050005389982013815,4.333892873493057,49.99236990691286,58979.0,72086.0,13108,0.05000538998201372,4.340860543179738,49.992371071101616,78639.0,98299.0,19661,0.34999293448848046,0.0,0.0
catalan,log3,0.915965594177219,1.0986122886681098,0.06668257864414806,"[0; 14, 1, 278, 2, 1, 1, 1, 1, 1]",1,15,0.06666666666666667,1.5911977481394834e-05,1.5911977481394834e-05,62845.740020010424,0.006666666666666667,catalan / log3,1/15,1.5911977481394834e-05,1,6284,6284,0.05000338923528038,6.651814131126671,50.0,56561.0,69130.0,12570,0.05000338923528044,6.666666666666667,50.0,75414.0,94268.0,18855,0.3499880814989407,0.0,0.0
euler_gamma,sqrt11,0.577215664901532,3.3166247903554,0.5416486122512533,"[0; 1, 1, 5, 1, 1, 95, 1, 1, 1]",13,24,0.5416666666666666,-1.8054415413359948e-05,1.8054415413359948e-05,55388.112941060266,0.004166666666666667,euler_gamma / sqrt11,13/24,1.8054415413359948e-05,1,5538,5538,0.0500017034874027,4.15312387143373,50.0,49849.0,60926.0,11078,0.05000170385553378,4.161400974905217,50.0,66465.0,83082.0,16618,0.3499918309136365,0.0,0.0
log3,catalan,1.0986122886681098,0.915965594177219,0.9285531619593292,"[0; 1, 12, 1, 278, 2, 1, 1, 1, 1]",13,14,0.9285714285714286,-1.8266612099360202e-05,1.8266612099360202e-05,54744.68908413649,0.007142857142857143,log3 / catalan,13/14,1.8266612099360202e-05,1,5474,5474,0.05000485062191224,7.142857142857142,50.0,49270.0,60219.0,10950,0.05000485062191197,7.141552511415525,49.990867579908674,65693.0,82117.0,16425,0.34999396720087245,0.0,0.0
silver,sqrt5,2.414213562373095,2.23606797749979,0.09525640002671598,"[0; 10, 2, 123, 2, 2, 15, 2, 3, 1]",2,21,0.09523809523809523,1.8304788620748802e-05,1.8304788620748802e-05,54630.51339836191,0.004761904761904762,silver / sqrt5,2/21,1.8304788620748802e-05,1,5463,5463,0.05000868251187128,4.759289767526999,49.990847519677835,49167.0,60093.0,10927,0.05000410675595819,4.758854214331473,50.00457582135993,65556.0,81945.0,16390,0.3499873131741446,0.0,0.0
catalan,log10,0.915965594177219,2.302585092994046,0.894756521217539,"[0; 1, 8, 1, 1, 140, 4, 4, 3, 4]",17,19,0.8947368421052632,1.9679112275849953e-05,1.9679112275849953e-05,50815.300303316624,0.005263157894736842,catalan / log10,17/19,1.9679112275849953e-05,1,5081,5081,0.050004624292949364,5.254871088368431,49.99015941743751,45733.0,55896.0,10164,0.05000462545581993,5.263675718221173,50.0,60978.0,76222.0,15245,0.3499871021237073,0.0,0.0
sqrt7,two_pi,2.6457513110645907,6.283185307179586,0.5293907260231044,"[0; 1, 1, 8, 164, 2, 1, 5, 1, 1]",9,17,0.5294117647058824,-2.1038682777918538e-05,2.1038682777918538e-05,47531.49284847647,0.0058823529411764705,sqrt7 / two_pi,9/17,2.1038682777918538e-05,1,4753,4753,0.05000894896309703,5.8699768567220705,49.98948032821376,42778.0,52284.0,9507,0.05000368982981949,5.890396549910592,50.00525928263385,57037.0,71297.0,14261,0.34998915781028006,0.0,0.0
