alpha_name,beta_name,alpha_value,beta_value,rho,cf_terms,best_p,best_q,best_approx,delta,abs_error,n_lock,tau_scaled,pair,carrier,abs_delta,Crystal_n_start,Crystal_n_end,Crystal_count,Crystal_mean_err,Crystal_lock_scaled_pct,Crystal_lock_soft_pct,Transit_n_start,Transit_n_end,Transit_count,Transit_mean_err,Transit_lock_scaled_pct,Transit_lock_soft_pct,PostCrk_n_start,PostCrk_n_end,PostCrk_count,PostCrk_mean_err,PostCrk_lock_scaled_pct,PostCrk_lock_soft_pct
pi,inv_pi,3.141592653589793,0.3183098861837907,0.0,[0],0,1,0.0,0.0,0.0,inf,0.1,pi / inv_pi,0/1,0.0,1,50,50,0.0,100.0,100.0,,,0,,0.0,0.0,,,0,,0.0,0.0
phi,phi_inv,1.618033988749895,0.6180339887498948,1.1102230246251565e-16,[0],0,1,0.0,1.1102230246251565e-16,0.0,inf,0.1,phi / phi_inv,0/1,1.1102230246251565e-16,1,50,50,2.831068712794149e-15,100.0,100.0,,,0,,0.0,0.0,,,0,,0.0,0.0
inv_pi,pi,0.3183098861837907,3.141592653589793,0.0,[0],0,1,0.0,0.0,0.0,inf,0.1,inv_pi / pi,0/1,0.0,1,50,50,0.0,100.0,100.0,,,0,,0.0,0.0,,,0,,0.0,0.0
pi_over_sqrt2,sqrt2_over_pi,2.221441469079183,0.4501581580785531,0.0,[0],0,1,0.0,0.0,0.0,inf,0.1,pi_over_sqrt2 / sqrt2_over_pi,0/1,0.0,1,50,50,0.0,100.0,100.0,,,0,,0.0,0.0,,,0,,0.0,0.0
phi_inv,phi,0.6180339887498948,1.618033988749895,0.9999999999999998,[0; 1],1,1,1.0,-2.220446049250313e-16,0.0,inf,0.1,phi_inv / phi,1/1,2.220446049250313e-16,1,50,50,5.395683899678261e-15,100.0,100.0,,,0,,0.0,0.0,,,0,,0.0,0.0
silver,silver_inv,2.414213562373095,0.41421356237309515,0.9999999999999998,[0; 1],1,1,1.0,-2.220446049250313e-16,0.0,inf,0.1,silver / silver_inv,1/1,2.220446049250313e-16,1,50,50,5.395683899678261e-15,100.0,100.0,,,0,,0.0,0.0,,,0,,0.0,0.0
silver_inv,silver,0.41421356237309515,2.414213562373095,1.1102230246251565e-16,[0],0,1,0.0,1.1102230246251565e-16,0.0,inf,0.1,silver_inv / silver,0/1,1.1102230246251565e-16,1,50,50,2.831068712794149e-15,100.0,100.0,,,0,,0.0,0.0,,,0,,0.0,0.0
e_over_pi,pi_over_e,0.8652559794322651,1.1557273497909217,0.0,[0],0,1,0.0,0.0,0.0,inf,0.1,e_over_pi / pi_over_e,0/1,0.0,1,50,50,0.0,100.0,100.0,,,0,,0.0,0.0,,,0,,0.0,0.0
pi_over_e,e_over_pi,1.1557273497909217,0.8652559794322651,0.0,[0],0,1,0.0,0.0,0.0,inf,0.1,pi_over_e / e_over_pi,0/1,0.0,1,50,50,0.0,100.0,100.0,,,0,,0.0,0.0,,,0,,0.0,0.0
sqrt2_over_pi,pi_over_sqrt2,0.4501581580785531,2.221441469079183,0.0,[0],0,1,0.0,0.0,0.0,inf,0.1,sqrt2_over_pi / pi_over_sqrt2,0/1,0.0,1,50,50,0.0,100.0,100.0,,,0,,0.0,0.0,,,0,,0.0,0.0
pi_over_3,sqrt11,1.0471975511965976,3.3166247903554,0.03846506367850721,"[0; 25, 1, 418, 1, 2, 41, 47, 3, 3]",1,26,0.038461538461538464,3.5252169687458035e-06,3.5252169687458035e-06,283670.4829421545,0.0038461538461538464,pi_over_3 / sqrt11,1/26,3.5252169687458035e-06,1,28367,28367,0.05000167748472076,3.846018260654986,49.99823738851482,255303.0,312037.0,56735,0.05000079619495234,3.8459504714902613,50.000881290208866,340404.0,425505.0,85102,0.3499977016583824,0.0,0.0
catalan,ln_phi,0.915965594177219,0.48121182505960347,0.1200037588824205,"[0; 8, 3, 425, 2, 1, 21, 8, 5, 1]",3,25,0.12,3.7588824205042615e-06,3.7588824205042615e-06,266036.5204681896,0.004,catalan / ln_phi,3/25,3.7588824205042615e-06,1,26603,26603,0.05000065395748887,3.999548923053791,49.99812051272413,239432.0,292640.0,53209,0.050001593697201835,3.9993234227292374,49.99906030934616,319243.0,399054.0,79812,0.3499969829988799,0.0,0.0
log2,pi_over_4,0.6931471805599453,0.7853981633974483,0.5172467730251458,"[0; 1, 1, 13, 1, 219, 1, 1, 10, 1]",15,29,0.5172413793103449,5.393714800905336e-06,5.393714800905336e-06,185400.97815927342,0.0034482758620689655,log2 / pi_over_4,15/29,5.393714800905336e-06,1,18540,18540,0.05000243306211233,3.4466019417475726,50.0,166860.0,203941.0,37082,0.050002433062112384,3.4491127770886143,50.0,222481.0,278101.0,55621,0.3499982712420211,0.0,0.0
ln_phi,phi,0.48121182505960347,1.618033988749895,0.47998805726069405,"[0; 2, 11, 1, 133, 19, 155, 4, 1, 7]",12,25,0.48,-1.1942739305936811e-05,1.1942739305936811e-05,83732.88358583643,0.004,ln_phi / phi,12/25,1.1942739305936811e-05,1,8373,8373,0.05000424947403208,3.989012301445121,49.994028424698435,75359.0,92106.0,16748,0.05000424947403272,4.0004776689754005,49.9940291378075,100479.0,125599.0,25121,0.34999530840579923,0.0,0.0
ln_phi,phi_inv,0.48121182505960347,0.6180339887498948,0.520011942739306,"[0; 1, 1, 11, 1, 133, 19, 155, 4, 1]",13,25,0.52,1.1942739305936811e-05,1.1942739305936811e-05,83732.88358583643,0.004,ln_phi / phi_inv,13/25,1.1942739305936811e-05,1,8373,8373,0.050004249474031606,3.989012301445121,49.994028424698435,75359.0,92106.0,16748,0.05000424947403272,4.0004776689754005,49.9940291378075,100479.0,125599.0,25121,0.34999530840579923,0.0,0.0
log2,pi_over_3,0.6931471805599453,1.0471975511965976,0.05264491250735848,"[0; 18, 1, 206, 1, 4, 7, 3, 3, 9]",1,19,0.05263157894736842,1.3333559990058585e-05,1.3333559990058585e-05,74998.72507759319,0.005263157894736842,log2 / pi_over_3,1/19,1.3333559990058585e-05,1,7499,7499,0.050000849962708746,5.254033871182824,49.99333244432591,67498.0,82498.0,15001,0.0500041837749766,5.266315578961402,49.996666888874074,89998.0,112498.0,22501,0.3499962818731559,0.0,0.0
log10,sqrt11,2.302585092994046,3.3166247903554,0.6956370903343336,"[0; 1, 2, 3, 1, 1, 124, 1, 3, 5]",16,23,0.6956521739130435,-1.5083578709829126e-05,1.5083578709829126e-05,66297.26401390115,0.004347826086956522,log10 / sqrt11,16/23,1.5083578709829126e-05,1,6629,6629,0.050002063423147156,4.344546688791673,49.99245738422084,59667.0,72926.0,13260,0.050002064023792515,4.343891402714932,50.0,79556.0,99445.0,19890,0.34998783632078756,0.0,0.0
sqrt5,silver_inv,2.23606797749979,0.41421356237309515,0.08697178124171867,"[0; 11, 2, 123, 2, 2, 15, 2, 3, 1]",2,23,0.08695652173913043,1.5259502588238494e-05,1.5259502588238494e-05,65532.93557358587,0.004347826086956522,sqrt5 / silver_inv,2/23,1.5259502588238494e-05,1,6553,6553,0.05000538998164961,4.333892873493057,49.99236990691286,58979.0,72086.0,13108,0.05000538998164973,4.340860543179738,49.992371071101616,78639.0,98299.0,19661,0.34999293447865776,0.0,0.0
